City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
qaanaaq,0,GL,03/26/19,72,77.48,-69.36,-11.59,9.75
bluff,80,AU,03/26/19,78,-23.58,149.07,75.99,7.52
port blair,80,IN,03/26/19,100,11.67,92.75,80.49,6.06
paamiut,44,GL,03/26/19,100,61.99,-49.67,22.71,3.83
new norfolk,0,AU,03/26/19,70,-42.78,147.06,48.2,6.93
omboue,12,GA,03/26/19,100,-1.57,9.26,83.46,9.42
mataura,44,NZ,03/26/19,91,-46.19,168.86,54.0,11.01
ushuaia,75,AR,03/26/19,66,-54.81,-68.31,53.6,8.05
carutapera,88,BR,03/26/19,90,-1.2,-46.02,79.68,4.38
hobart,0,AU,03/26/19,70,-42.88,147.33,48.2,6.93
punta arenas,75,CL,03/26/19,71,-53.16,-70.91,53.6,17.22
bonavista,0,CA,03/26/19,55,48.65,-53.11,28.0,5.01
mount pleasant,1,US,03/26/19,48,33.16,-94.97,70.0,3.36
kapaa,90,US,03/26/19,83,22.08,-159.32,75.2,6.93
dikson,88,RU,03/26/19,93,73.51,80.55,28.56,25.52
avarua,0,CK,03/26/19,83,-21.21,-159.78,84.2,6.93
vuktyl,88,RU,03/26/19,85,63.86,57.31,31.8,9.64
puerto ayora,40,EC,03/26/19,74,-0.74,-90.35,84.2,9.17
carroll,32,AU,03/26/19,55,-30.99,150.44,64.4,14.99
khorinsk,0,RU,03/26/19,60,52.16,109.78,8.13,3.94
puerto madryn,0,AR,03/26/19,66,-42.77,-65.04,65.64,21.27
phek,68,IN,03/26/19,95,25.7,94.46,56.28,1.25
thompson,75,CA,03/26/19,55,55.74,-97.86,39.2,12.75
okato,92,NZ,03/26/19,74,-39.19,173.88,70.0,18.01
ribeira brava,20,PT,03/26/19,63,32.65,-17.07,64.4,18.34
saint george,75,GR,03/26/19,87,39.45,22.34,53.6,2.71
shingu,0,JP,03/26/19,100,33.72,135.99,53.22,8.41
vaini,20,IN,03/26/19,93,15.34,74.49,70.59,1.7
rikitea,12,PF,03/26/19,97,-23.12,-134.97,80.49,13.44
geraldton,75,CA,03/26/19,25,49.72,-86.95,37.4,12.75
tiksi,0,RU,03/26/19,29,71.64,128.87,-20.32,2.82
kaitangata,92,NZ,03/26/19,77,-46.28,169.85,58.17,17.47
mathathane,0,BW,03/26/19,63,-22.27,28.75,76.71,18.03
yar-sale,76,RU,03/26/19,88,66.83,70.83,32.79,21.05
lisakovsk,0,KZ,03/26/19,72,52.55,62.49,17.49,3.6
enumclaw,75,US,03/26/19,47,47.2,-121.99,57.0,2.59
lebu,20,ET,03/26/19,45,8.96,38.73,68.0,6.93
tuktoyaktuk,90,CA,03/26/19,92,69.44,-133.03,17.6,2.24
hue,20,VN,03/26/19,100,16.47,107.58,71.6,2.24
mar del plata,0,AR,03/26/19,40,-46.43,-67.52,72.66,6.29
sao joao da barra,0,BR,03/26/19,45,-21.64,-41.05,86.0,16.11
klaksvik,56,FO,03/26/19,75,62.23,-6.59,44.6,13.87
butaritari,48,KI,03/26/19,100,3.07,172.79,83.37,16.24
menomonie,1,US,03/26/19,38,44.88,-91.92,51.01,9.17
port alfred,56,ZA,03/26/19,87,-33.59,26.89,66.72,7.29
castro,0,CL,03/26/19,46,-42.48,-73.76,69.8,8.05
saint-philippe,1,CA,03/26/19,39,45.36,-73.48,33.01,6.93
khatanga,88,RU,03/26/19,92,71.98,102.47,25.05,10.54
gelemso,88,ET,03/26/19,63,8.81,40.52,66.99,2.48
santiago de cuba,40,CU,03/26/19,58,20.03,-75.83,84.2,11.41
pangnirtung,20,CA,03/26/19,71,66.15,-65.72,6.8,3.36
port elizabeth,1,US,03/26/19,18,39.31,-74.98,52.0,13.87
beira,0,ES,03/26/19,58,43.2,-8.36,61.0,5.82
yulara,0,AU,03/26/19,44,-25.24,130.99,60.8,6.93
jamestown,0,AU,03/26/19,80,-33.21,138.6,42.87,5.5
mount gambier,90,AU,03/26/19,100,-37.83,140.78,50.0,4.7
hilo,90,US,03/26/19,73,19.71,-155.08,75.0,6.93
bredasdorp,76,ZA,03/26/19,68,-34.53,20.04,68.0,14.99
sukumo,0,JP,03/26/19,78,32.94,132.72,45.48,2.48
conceicao do araguaia,92,BR,03/26/19,100,-8.26,-49.26,74.01,5.61
forestville,75,CA,03/26/19,48,48.74,-69.09,19.4,20.8
saskylakh,76,RU,03/26/19,69,71.97,114.09,11.46,3.94
baruun-urt,0,MN,03/26/19,72,46.68,113.28,8.22,3.15
aklavik,20,CA,03/26/19,69,68.22,-135.01,35.6,6.93
nuevo progreso,90,US,03/26/19,88,26.05,-97.95,73.99,10.29
cape town,0,ZA,03/26/19,60,-33.93,18.42,70.0,9.17
jinchang,24,CN,03/26/19,55,38.52,102.19,22.71,3.49
robertsport,0,LR,03/26/19,100,6.75,-11.37,82.56,10.2
tasiilaq,40,GL,03/26/19,53,65.61,-37.64,26.6,16.11
avera,90,US,03/26/19,63,33.19,-82.53,64.4,13.87
dunda,0,IN,03/26/19,78,30.62,78.32,40.71,3.38
cairns,90,AU,03/26/19,94,-16.92,145.77,77.0,5.82
busselton,0,AU,03/26/19,44,-33.64,115.35,57.0,14.67
kodiak,40,US,03/26/19,24,39.95,-94.76,61.0,8.05
beloha,0,MG,03/26/19,92,-25.17,45.06,72.39,2.93
riberalta,75,BO,03/26/19,94,-11.0,-66.08,78.8,11.41
banjar,44,ID,03/26/19,97,-7.37,108.54,70.32,1.92
glendive,1,US,03/26/19,71,47.11,-104.71,57.2,12.75
luderitz,0,NA,03/26/19,86,-26.65,15.16,60.96,9.53
ewa beach,1,US,03/26/19,57,21.32,-158.01,78.01,5.82
sierra vista,40,US,03/26/19,9,31.55,-110.3,84.99,3.6
puerto cabezas,40,NI,03/26/19,58,14.04,-83.39,87.8,11.41
artigas,24,BR,03/26/19,55,-30.4,-56.46,71.67,11.32
atuona,44,PF,03/26/19,100,-9.8,-139.03,82.02,13.11
karratha,24,AU,03/26/19,96,-20.74,116.85,75.72,3.04
clyde river,20,CA,03/26/19,70,70.47,-68.59,-2.21,5.82
chuy,88,UY,03/26/19,91,-33.69,-53.46,65.64,16.24
tautira,40,PF,03/26/19,66,-17.73,-149.15,86.0,3.36
pevek,56,RU,03/26/19,65,69.7,170.27,15.78,4.94
adrar,75,DZ,03/26/19,56,27.87,-0.29,73.4,11.41
longyearbyen,40,NO,03/26/19,67,78.22,15.63,19.4,8.05
nowy dwor gdanski,0,PL,03/26/19,72,54.21,19.12,35.01,9.17
nikolskoye,75,RU,03/26/19,86,59.7,30.79,30.2,11.18
hirara,0,JP,03/26/19,100,24.8,125.28,71.13,14.0
hobyo,92,SO,03/26/19,87,5.35,48.53,81.66,12.55
samagaltay,0,RU,03/26/19,65,50.6,95.0,5.79,2.59
harper,1,US,03/26/19,31,30.3,-99.24,80.01,10.29
bambous virieux,40,MU,03/26/19,83,-20.34,57.76,80.6,3.36
menongue,100,AO,03/26/19,58,-14.66,17.68,74.64,3.38
puerto escondido,20,MX,03/26/19,70,15.86,-97.07,84.2,11.41
dunedin,0,NZ,03/26/19,96,-45.87,170.5,57.0,10.65
chancay,40,PE,03/26/19,65,-11.56,-77.27,77.0,10.29
nsanje,0,MZ,03/26/19,73,-16.92,35.26,77.88,7.74
kandrian,32,PG,03/26/19,95,-6.21,149.55,77.52,4.16
albany,1,US,03/26/19,17,42.65,-73.75,45.0,16.11
shimoda,0,JP,03/26/19,87,34.7,138.93,42.01,10.09
buraydah,0,SA,03/26/19,39,26.33,43.97,62.6,9.17
lorengau,76,PG,03/26/19,97,-2.02,147.27,82.83,8.63
severo-kurilsk,36,RU,03/26/19,100,50.68,156.12,26.94,8.52
pochutla,20,MX,03/26/19,70,15.74,-96.47,84.2,11.41
leningradskiy,76,RU,03/26/19,91,69.38,178.42,28.74,24.07
sao jose da laje,40,BR,03/26/19,88,-9.01,-36.06,77.0,12.75
duzce,12,TR,03/26/19,81,40.84,31.16,31.89,1.81
yellowknife,75,CA,03/26/19,68,62.45,-114.38,28.99,14.99
mattru,12,SL,03/26/19,52,7.62,-11.83,87.87,7.63
pakenham,0,AU,03/26/19,80,-38.08,145.48,59.0,2.59
gidam,0,IN,03/26/19,96,18.98,81.4,60.96,2.71
jega,0,NG,03/26/19,26,12.22,4.38,83.82,7.63
cidreira,92,BR,03/26/19,75,-30.17,-50.22,69.96,9.53
bilibino,88,RU,03/26/19,81,68.06,166.44,14.52,2.59
hasaki,0,JP,03/26/19,42,35.73,140.83,45.0,5.82
victoria,75,BN,03/26/19,94,5.28,115.24,78.8,2.24
akhnur,20,IN,03/26/19,77,32.87,74.73,64.4,4.7
ostrovnoy,0,RU,03/26/19,89,68.05,39.51,18.93,12.21
celestun,0,MX,03/26/19,95,20.87,-90.4,78.24,21.5
patrocinio,92,PH,03/26/19,88,13.72,123.64,78.42,11.99
dire dawa,76,ET,03/26/19,61,9.59,41.86,71.94,2.37
la ronge,90,CA,03/26/19,74,55.1,-105.3,37.4,5.82
souillac,0,FR,03/26/19,38,45.6,-0.6,52.0,5.82
yomou,24,GN,03/26/19,76,7.57,-9.26,78.69,3.04
faanui,32,PF,03/26/19,100,-16.48,-151.75,83.46,8.08
killybegs,90,IE,03/26/19,87,54.63,-8.45,48.2,9.17
banff,76,CA,03/26/19,34,51.18,-115.57,50.0,15.01
diamantino,12,BR,03/26/19,92,-14.4,-56.44,79.77,4.94
tateyama,0,JP,03/26/19,67,36.66,137.31,44.01,15.01
ribeira grande,20,PT,03/26/19,77,38.52,-28.7,60.8,6.93
cururupu,92,BR,03/26/19,88,-1.82,-44.87,79.5,3.27
mbandaka,12,CD,03/26/19,92,0.05,18.26,76.44,0.92
hermanus,80,ZA,03/26/19,78,-34.42,19.24,70.0,8.01
ilulissat,90,GL,03/26/19,85,69.22,-51.1,12.2,9.17
wenceslau braz,68,BR,03/26/19,55,-23.87,-49.8,84.99,3.0
vila franca do campo,20,PT,03/26/19,72,37.72,-25.43,59.0,10.29
archidona,75,EC,03/26/19,79,-0.91,-77.81,87.8,3.36
leander,1,US,03/26/19,36,30.56,-97.84,79.0,3.36
baykit,0,RU,03/26/19,67,61.68,96.39,6.78,3.6
port lincoln,0,AU,03/26/19,100,-34.72,135.86,54.03,3.94
ojinaga,75,US,03/26/19,37,29.56,-104.41,82.4,5.82
kahului,20,US,03/26/19,60,20.89,-156.47,75.99,6.93
gravdal,90,NO,03/26/19,93,59.79,5.78,45.0,16.11
peniche,0,PT,03/26/19,42,39.36,-9.38,70.0,6.93
arraial do cabo,20,BR,03/26/19,62,-22.97,-42.02,84.2,9.17
hokitika,92,NZ,03/26/19,100,-42.72,170.96,60.42,7.18
tura,0,IN,03/26/19,94,25.52,90.21,63.12,2.15
poum,56,MK,03/26/19,65,41.28,20.71,37.11,1.59
roald,75,NO,03/26/19,87,62.58,6.12,44.6,14.99
ponta do sol,76,BR,03/26/19,57,-20.63,-46.0,79.59,3.04
sabha,0,LY,03/26/19,51,27.03,14.43,58.71,4.61
alice springs,0,AU,03/26/19,58,-23.7,133.88,57.2,3.36
otane,0,NZ,03/26/19,62,-39.89,176.62,66.0,5.01
east london,92,ZA,03/26/19,100,-33.02,27.91,68.79,3.38
hami,80,CN,03/26/19,68,42.84,93.51,43.23,0.92
saint-pierre,0,FR,03/26/19,75,48.95,4.24,44.6,8.05
dryden,40,CA,03/26/19,44,49.79,-92.84,37.4,12.75
lakatoro,68,VU,03/26/19,95,-16.11,167.42,80.22,10.98
wolfenbuttel,90,DE,03/26/19,87,52.17,10.55,45.0,10.29
amahai,64,ID,03/26/19,100,-3.31,129.0,83.55,3.27
maldonado,75,UY,03/26/19,56,-34.91,-54.96,68.0,17.22
abilene,1,US,03/26/19,43,32.45,-99.73,72.0,8.05
cayenne,0,GF,03/26/19,58,4.94,-52.33,86.0,12.75
abay,90,KZ,03/26/19,86,49.63,72.87,39.2,2.24
honiara,12,SB,03/26/19,93,-9.43,159.96,77.43,3.15
puerto del rosario,40,ES,03/26/19,82,28.5,-13.86,64.4,3.36
grand-santi,80,GF,03/26/19,84,4.27,-54.38,79.77,3.15
nanortalik,64,GL,03/26/19,100,60.14,-45.24,24.69,27.31
lagoa,40,PT,03/26/19,59,37.14,-8.45,64.4,12.75
tual,44,ID,03/26/19,100,-5.67,132.75,82.38,9.98
kaoma,8,ZM,03/26/19,66,-14.8,24.8,70.95,7.74
carnarvon,88,ZA,03/26/19,35,-30.97,22.13,59.79,9.64
sechura,0,PE,03/26/19,64,-5.56,-80.82,79.32,10.87
te anau,64,NZ,03/26/19,95,-45.41,167.72,49.26,9.98
provideniya,88,RU,03/26/19,96,64.42,-173.23,31.89,30.0
mungaa,80,TZ,03/26/19,97,-4.97,34.86,61.68,5.95
nanjing,24,CN,03/26/19,81,32.06,118.79,59.0,4.47
muisne,20,EC,03/26/19,79,0.61,-80.02,86.0,9.17
trinidad,64,UY,03/26/19,58,-33.52,-56.9,68.97,11.54
ancud,0,CL,03/26/19,46,-41.87,-73.83,69.8,8.05
selaphum,24,TH,03/26/19,74,16.03,103.94,78.8,2.93
villa carlos paz,75,AR,03/26/19,72,-31.42,-64.5,64.99,3.36
beringovskiy,44,RU,03/26/19,89,63.05,179.32,30.72,31.12
ponferrada,0,ES,03/26/19,99,42.55,-6.59,41.0,3.0
okhotsk,76,RU,03/26/19,88,59.36,143.24,15.69,6.4
goure,0,NE,03/26/19,14,13.98,10.27,80.31,11.43
san patricio,80,PY,03/26/19,51,-26.98,-56.83,72.66,6.06
wanaka,0,NZ,03/26/19,68,-44.7,169.14,53.58,6.17
quelimane,0,MZ,03/26/19,78,-17.88,36.89,80.6,2.24
lompoc,1,US,03/26/19,48,34.64,-120.46,69.01,5.84
lumphat,0,KH,03/26/19,62,13.5,106.97,77.52,5.39
borskoye,92,RU,03/26/19,92,53.03,51.7,34.68,16.69
ust-tsilma,68,RU,03/26/19,87,65.44,52.15,29.91,6.17
necochea,0,AR,03/26/19,56,-38.55,-58.74,64.0,5.99
cherskiy,80,RU,03/26/19,75,68.75,161.3,9.12,14.79
auki,24,NG,03/26/19,25,12.18,6.51,76.08,7.63
merta,0,IN,03/26/19,48,26.65,74.03,63.12,2.71
bilma,0,NE,03/26/19,14,18.69,12.92,72.21,10.31
mehamn,75,NO,03/26/19,68,71.03,27.85,30.2,21.92
ruy barbosa,56,BR,03/26/19,83,-12.29,-40.5,75.09,5.06
georgetown,75,GY,03/26/19,58,6.8,-58.16,86.0,11.41
caconda,48,AO,03/26/19,76,-13.73,15.06,65.28,5.39
tweed,5,CA,03/26/19,34,44.48,-77.31,37.99,13.87
bambanglipuro,92,ID,03/26/19,96,-7.95,110.28,75.0,2.37
torbay,90,CA,03/26/19,58,47.66,-52.73,28.0,8.05
uitenhage,20,ZA,03/26/19,88,-33.77,25.4,62.6,1.12
iqaluit,75,CA,03/26/19,65,63.75,-68.52,3.2,14.99
ceplenita,0,RO,03/26/19,55,47.38,27.02,39.0,2.24
nelson bay,90,AU,03/26/19,87,-32.72,152.14,71.01,5.82
san-pedro,20,CI,03/26/19,81,4.75,-6.64,81.93,9.19
kaeo,76,NZ,03/26/19,95,-35.1,173.78,61.0,11.99
hithadhoo,80,MV,03/26/19,100,-0.6,73.08,83.73,4.61
maragogi,76,BR,03/26/19,88,-9.01,-35.22,80.76,8.08
fortuna,0,ES,03/26/19,62,38.18,-1.13,59.0,17.22
xuchang,0,CN,03/26/19,42,34.03,113.82,62.6,6.71
makakilo city,1,US,03/26/19,57,21.35,-158.09,78.01,5.82
sabang,92,PH,03/26/19,88,13.72,123.58,78.42,11.99
barrow,0,AR,03/26/19,59,-38.31,-60.23,63.12,6.17
glushkovo,0,RU,03/26/19,85,51.34,34.64,27.21,2.93
namibe,44,AO,03/26/19,100,-15.19,12.15,76.89,5.73
olinda,75,EC,03/26/19,74,-2.03,-79.75,87.01,3.36
takoradi,8,GH,03/26/19,100,4.89,-1.75,81.57,6.4
sao paulo de olivenca,8,BR,03/26/19,74,-3.38,-68.87,86.61,2.48
aranos,88,NA,03/26/19,26,-24.14,19.11,77.52,3.15
xiaoweizhai,20,CN,03/26/19,91,26.23,107.51,60.87,8.86
arlington,1,US,03/26/19,24,38.89,-77.08,51.8,16.11
linjiang,36,CN,03/26/19,69,41.81,126.91,19.38,3.83
chokurdakh,44,RU,03/26/19,64,70.62,147.9,-8.35,12.88
sisimiut,56,GL,03/26/19,87,66.94,-53.67,12.36,1.81
camacha,40,PT,03/26/19,72,33.08,-16.33,64.4,24.16
wagar,0,US,03/26/19,60,31.44,-87.99,61.0,5.01
nikolayevka,64,RU,03/26/19,79,47.31,38.84,38.46,2.93
naze,75,NG,03/26/19,94,5.43,7.07,75.2,4.7
juneau,40,US,03/26/19,65,58.3,-134.42,50.0,2.37
bethel,1,US,03/26/19,88,60.79,-161.76,35.6,14.99
fort nelson,75,CA,03/26/19,56,58.81,-122.69,41.0,2.24
nuuk,20,GL,03/26/19,38,64.17,-51.74,24.8,8.05
morondava,0,MG,03/26/19,97,-20.3,44.28,78.69,4.16
canon city,8,US,03/26/19,19,39.46,-117.13,57.72,5.95
maloy,80,ID,03/26/19,84,1.0,118.1,77.79,2.71
wajid,44,SO,03/26/19,61,3.81,43.25,82.74,10.42
pisco,0,PE,03/26/19,30,-13.71,-76.2,71.6,9.17
saldanha,0,PT,03/26/19,29,41.42,-6.55,55.02,17.25
upernavik,32,GL,03/26/19,100,72.79,-56.15,6.15,4.94
pacific grove,90,US,03/26/19,67,36.62,-121.92,66.99,3.38
sovetskiy,80,RU,03/26/19,92,56.76,48.47,30.18,10.87
osa,24,RU,03/26/19,90,57.28,55.46,29.28,7.74
intipuca,0,SV,03/26/19,34,13.2,-88.05,96.8,6.93
vanimo,76,PG,03/26/19,100,-2.67,141.3,80.94,10.2
faya,0,SA,03/26/19,77,18.39,42.45,60.8,10.29
egvekinot,68,RU,03/26/19,85,66.32,-179.17,26.58,16.69
meulaboh,88,ID,03/26/19,100,4.14,96.13,81.21,3.15
swan hill,0,AU,03/26/19,82,-35.34,143.56,44.13,4.38
upington,0,ZA,03/26/19,26,-28.46,21.24,80.6,3.36
coquimbo,90,CL,03/26/19,82,-29.95,-71.34,59.0,10.29
salalah,75,OM,03/26/19,78,17.01,54.1,78.8,4.7
hoquiam,90,US,03/26/19,100,46.98,-123.89,57.0,3.36
qaqortoq,75,GL,03/26/19,41,60.72,-46.03,23.0,4.7
huercal-overa,12,ES,03/26/19,86,37.39,-1.95,60.01,3.0
vila velha,40,BR,03/26/19,69,-3.71,-38.6,82.4,4.7
algiers,40,US,03/26/19,43,29.94,-90.04,73.0,13.87
palauig,0,PH,03/26/19,100,15.44,119.9,70.86,4.94
hoima,0,UG,03/26/19,87,1.43,31.35,66.72,2.71
bonthe,0,SL,03/26/19,73,7.53,-12.5,82.74,6.29
margate,0,AU,03/26/19,70,-43.03,147.26,48.2,6.93
airai,76,TL,03/26/19,91,-8.93,125.41,69.06,1.7
teguldet,0,RU,03/26/19,80,57.31,88.17,15.24,3.27
general pico,0,AR,03/26/19,43,-35.66,-63.75,68.07,7.29
ambovombe,8,MG,03/26/19,96,-25.18,46.09,75.63,2.59
hamilton,20,CA,03/26/19,29,43.26,-79.87,44.01,8.05
